objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language
uiblackhistory011,mg5758_001.jpg,portrait of Jennie Eva Hughes,,,1898,yes,,,,"Jennie E. Hughes Medal Oration, 1989",MG 5758,,,image/jpg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
uiblackhistory012,mg5758_002.jpg,portrait of Jennie Eva Hughes,,,1898,yes,,,,"Jennie E. Hughes Medal Oration, 1989",MG 5758,,,image/jpg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
uiblackhistory013,mg5758_003.pdf,"""The Uncrowned King"" by Jennie Eva Hughes",,"this speech won her the medal oration on April 15, 1898 at University of Idaho",1898-04-15,no,,,,"Jennie E. Hughes Medal Oration, 1989",MG 5758,,,application/pdf,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
uiblackhistory014,mg5758_004.jpg,The Spokesman article about the oratorical event where Jennie Eva Hughes won,,,1898,yes,,,,"Jennie E. Hughes Medal Oration, 1989",MG 5758,,,image/jpg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
uiblackhistory015,pg2_110_1.jpg,University of Idaho class of 1899,,"Back row (left to right): Fred Merriam, Clara Playfair, Eva Nichols, Clem Herbert, Guy Wolfe, Ava Sweet, Fred Moore. Front row (left to right): Kate Hanley, Maude Mix, Charles Armstrong, Will Stillinger, Jennie Eva Hughes, Gilbert Hogue.",1898,yes,,,,"University of Idaho Student Organizations Collection, 1893-1992",PG 2,,,image/jpg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
uiblackhistory016,ma2000_29_001.jpg,Jennie Eva Hughes registration card at University of Idaho,,,1898-09-23,no,,,,"Registrars Office Records, 1899-1900",MA 2000-29,,,image/jpg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
uiblackhistory017,ma2000_29_002.jpg,Jennie Eva Hughes registration card at University of Idaho,,,1899-02-15,yes,,,,"Registrars Office Records, 1899-1900",MA 2000-29,,,image/jpg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
uiblackhistory018,blackenterpriseapr73.pdf,front cover of Black Enterprise: Crime and Black Business,Black Enterprise magazine,issue of Black Enterprise magazine,1973-04-01,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory019,blackenterpriseaug72.pdf,front cover of Black Enterprise: Housing: New Hope For An Old Crisis?,Black Enterprise magazine,issue of Black Enterprise magazine,1972-07-31,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory020,blackenterpriseaug73.pdf,front cover of Black Enterprise: Black Farming in the Age of Agri-Business,Black Enterprise magazine,issue of Black Enterprise magazine,1973-07-31,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory021,blackenterprisefeb73.pdf,front cover of Black Enterprise: Black Lawyers: A Brighter Future?,Black Enterprise magazine,issue of Black Enterprise magazine,1973-02-01,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory022,blackenterprisejun73.pdf,front cover of Black Enterprise: The Nation's 100 Top Black Businesses,Black Enterprise magazine,issue of Black Enterprise magazine,1973-05-31,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory023,blackenterprisemar73.pdf,front cover of Black Enterprise: Opportunities & Involvement 1973,Black Enterprise magazine,issue of Black Enterprise magazine,1973-03-01,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory024,blackenterprisemay73.pdf,front cover of Black Enterprise: Travel For Fun & Profit,Black Enterprise magazine,issue of Black Enterprise magazine,1973-04-30,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory025,bsuhousing.pdf,memorandum regarding Black Student Union use of basement and main floor of the Canterbury Center,Tom Richardson,,1973-03-15,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory026,bsuhousing2_2.pdf,correspondence regarding Black Student Union's fiscal responsibility,Tom Richardson,,1972-04-07,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory027,bsuhousing2.pdf,correspondence regarding status of Black Student Union,Tom Richardson,,1972-04-07,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory028,offensereport.pdf,memorandum regarding Offense Report,Tom Richardson,,1973-02-14,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory029,offensereport2.pdf,"Offense Report regarding ""Stolen (Found) Property""",,,1973-02-05,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory030,spaceallocation.pdf,memorandum regarding request from the Black Student Union for the B.S.U. program,Tom Richardson,,1973-02-28,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory031,spaceallocationbsu.pdf,memorandum regarding space requirements and use of space by Black Student Union,The Black Student Union,,1973-02-20,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory032,spaceallocationbsu2.pdf,memorandum regarding space requirements and use of space by Black Student Union,The Black Student Union,,1973-02-20,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory033,potentialspeaker.pdf,Congressman William L. Clay potential speaker,Education Services,,1973-02-16,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory034,potentialspeaker2.pdf,potentialspeaker2.pdf,,,undated,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory035,potentialspeaker3.pdf,potentialspeaker3.pdf,,,undated,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory036,potentialspeaker4.pdf,potentialspeaker4.pdf,,,undated,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory037,speakerbrochure1.pdf,promotional brochure for Educational Services Speakers Bureau,Education Services Speakers Bureau,,1973-01-01,yes,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory038,speakerbrochure2.pdf,speakerbrochure2.pdf,,,undated,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory039,dailyevergreen.pdf,"WSU HillTopics newspaper piece on Talmadge Anderson, Director of the WSU Black Studies Program at WSU",WSU HillTopics,,1973-02-01,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory040,dailyevergreen2.pdf,dailyevergreen2.pdf,,,undated,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory041,thestrugglevol_1_2.pdf,article on the Black Studies Research project,,,undated,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory042,thestrugglevol_1.pdf,front cover of The Struggle (WSU Black Studies periodical),"The Struggle, WSU","Vol. 1, No. 4",1974-01-01,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory043,thestrugglevol2.pdf,front cover of The Struggle (WSU Black Studies periodical),"The Struggle, WSU","Vol. 2, No. 2",1975-01-01,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory044,h28.jpg,"memorandum regarding Black student recruit: ""Financial Aids""","Dr. Sherman Carter, Financial Vice President; Charles O. Decker, Dean of Students",,1970-12-15,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory045,h29.pdf,correspondence regarding Financial Aids: Basic information concerning financial aid resources which are available for five students during second semester 1970-1971,"Charles O. Decker, Dean of Students",,1970-12-11,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory046,h33.jpg,memorandum regarding Financial Aids Available for Five Black Students,Sherman Carter,,1970-12-23,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory047,h34.jpg,"memorandum regarding Black Student recruit: ""Financial Aids""","Dr. Sherman Carter, Financial Vice President; Charles O. Decker, Dean of Students",,1970-12-15,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory048,h35.pdf,correspondence regarding Financial Aids: Basic information concerning financial aid resources which are available for five students during second semester 1970-1971,"Charles O. Decker, Dean of Students",,1970-12-11,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory049,h22.jpg,memorandum regarding Co-ordinator for Black Student Union,S.B. Rolland,,1971-06-01,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory050,h1.jpg,correspondence regarding Minority Groups,"Ad Hock Committee on Ethnic Understanding (Carlann Bush, [?] Rolland, Jean Hill, Harry Davey, Mary Ruth Mann, Jesse Craig, Robert Coonrod, and Loren Dantzler)",,1971-03-11,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 14, Folder 331",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory051,h10.jpg,Budget Request for Other Expense Fiscal Year 1972-1973,,,1972-01-01,yes,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory052,h11.jpg,Budget Request for Equipment and Other Capital Outlay Fiscal Year 1972-1973,,,1972-01-01,yes,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory053,h12.jpg,Summary of Budget Request Fiscal Year 1972-73,,,1972-01-01,yes,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory054,h13.jpg,The Pacific Northwest Intercultural Study Council Constitution and By-Laws,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory055,h14.jpg,Article IV page 1,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory056,h15.jpg,Article IV page 2,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory057,h16.jpg,memorandum regarding Black Studies Funds,Robert W. Coonrod,,1971-06-10,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory058,h17.jpg,"memorandum regarding Budget for ""Black Studies"" courses",S.B. Rolland,,1971-06-02,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory059,h19.jpg,memorandum regarding New International Study Council,,,1971-05-12,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory060,h2.jpg,memorandum regarding Budgeting Black Studies' Funds,,,1970-12-18,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 14, Folder 331",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
